assign,beta,value_weighted_return,return
1,1.5557329633068064,-0.002096264150943394,-0.023645415949381517
2,1.3268083791791745,-0.002154697637795272,-0.02296712138195716
3,1.3116032215300606,-0.002096264150943394,-0.02647141752170856
4,1.3752122039022943,-0.002096264150943394,-0.029425403370765164
5,1.3547213492141854,-0.002149970031545739,-0.029202701279619794
6,0.9887593799994252,-0.002191615141955834,-0.03098020285690686
7,1.291632651301387,-0.0021125567823343824,-0.02722660191053462
8,1.4732210191522228,-0.002096264150943394,-0.028009868779570193
9,1.4804812781536112,-0.002096264150943394,-0.0281127225531551
10,1.4719695516386844,-0.002096264150943394,-0.029984953685230572
11,1.1411056129198167,-0.002096264150943394,-0.0265674725531551
12,1.4125179129186725,-0.002117234645669288,-0.02873336232683905
13,1.2684274773433064,-0.002096264150943394,-0.026601326326740005
14,1.1576784901735997,-0.0020144465709728845,-0.02860008667851997
15,1.5536761970517525,-0.002096264150943394,-0.02673494896824944
16,1.3364429498098143,-0.002162645007923929,-0.027711005091105245
17,1.1585050001839705,-0.0020893196850393673,-0.027402708783531963
18,1.2743327949586405,-0.0020937429022082,-0.029170925254383202
19,1.359184976192387,-0.0020483154574132472,-0.024852313267001498
20,1.0894344021275837,-0.002096264150943394,-0.028179076326740004
21,1.2673561297995313,-0.0020594575999999974,-0.03260072706384692
22,1.2067009806251578,-0.0020189763406940043,-0.026568929986244397
23,1.0389662337339007,-0.0020354715189873397,-0.030615800124606418
24,1.4402433661605563,-0.002108635071090044,-0.029425417290703165
25,1.1810110826917193,-0.002092198738170345,-0.02883234165816869
26,1.117002886936916,-0.002096264150943395,-0.027950836761274023
27,1.254354813458404,-0.002096264150943394,-0.030061739848752583
28,1.3036207328889624,-0.00208327244094488,-0.030001448941012275
29,1.496130707155031,-0.0022749935794542505,-0.032806570597715294
30,1.159336926761671,-0.002111060031595574,-0.028726314605079153
31,1.1416253114327575,-0.002096264150943394,-0.027778057458815477
32,1.2789375584809572,-0.002055519230769229,-0.02788504639205205
33,1.2709173733578962,-0.002096264150943394,-0.028364623496551326
34,1.2314890828405287,-0.002096264150943394,-0.02807644896824944
35,1.504018025054367,-0.0021808204724409423,-0.029258178074870547
36,1.1739485142748964,-0.0021159334389857357,-0.029111875138648824
37,1.1521444450934937,-0.002096264150943394,-0.02778239550912994
38,1.229816300904642,-0.002096264150943394,-0.03088608890535636
39,1.2820602075576122,-0.002096264150943394,-0.028280121924224282
40,0.9673299154271375,-0.0018817920634920618,-0.031211726581307244
41,1.1786129233043938,-0.002096264150943394,-0.0315394222386897
42,1.2314012304915793,-0.002096264150943394,-0.029542818465104786
43,1.1548203908960637,-0.0021326709062003146,-0.031603048139840564
44,1.1372328396117015,-0.002260004799999998,-0.028978264663846922
45,1.3120170277083592,-0.0021045063291139222,-0.028858758985365912
46,1.1968317106447304,-0.0020862933753943193,-0.029946653961007805
47,1.1948541384168374,-0.002099467353951889,-0.032332364889276474
48,1.3870766316966259,-0.002081588328075707,-0.027866029355329572
49,1.3591850794463496,-0.0020938078740157452,-0.028847745004004405
50,1.2813771027428262,-0.002096264150943394,-0.02800869110661422
51,1.3329477307539477,-0.0021784936908517327,-0.027977729670786985
52,1.0569235872398863,-0.002096264150943394,-0.027553373496551327
53,1.4141881738405575,-0.002227511075949364,-0.02889963240308743
54,0.9463469491682115,-0.0021331307086614143,-0.02963804421660283
55,1.2609654462790065,-0.0022382056962025284,-0.030401426706884897
56,1.3158164660700302,-0.0020937429022082,-0.03138177383482484
57,1.1058692381885553,-0.002096264150943395,-0.03037368924840953
58,1.18370684938936,-0.0019033637820512796,-0.0316877002382059
59,1.3609454087580446,-0.0022019193037974656,-0.028496315947391226
60,1.2984651446764204,-0.002096264150943394,-0.030397426955670825
61,1.1924068556710954,-0.002096264150943394,-0.02943835148397271
62,1.2120409655594115,-0.0019755078864353293,-0.030015871626622947
63,1.0381247813674435,-0.0021069086614173213,-0.03164727571266582
64,0.9166348408457365,-0.002099467353951889,-0.028012437054224928
65,1.196292876191285,-0.002126724409448817,-0.031282603271720937
66,1.0704724607070748,-0.002096264150943394,-0.027165500855041894
67,1.0802491428440941,-0.002107423380726696,-0.02987511871250411
68,1.124876206849293,-0.002096264150943394,-0.03018531217579661
69,1.3929198841522152,-0.002096264150943394,-0.03018807475441296
70,1.2080800079156808,-0.002027961844197136,-0.03005403383141449
71,1.4702351143610626,-0.0021968949999999978,-0.028874862930513587
72,1.0289612313245318,-0.002096264150943394,-0.03099093638963309
73,0.9928634388799471,-0.002109827258320125,-0.02770648211170746
74,1.0299378042329321,-0.001964564593301433,-0.03205770390340035
75,1.2505392426224555,-0.002096264150943394,-0.029890985131771453
76,1.1760219391581224,-0.002086464454976301,-0.031089034984226074
77,1.202011312508027,-0.002155088328075708,-0.030315564055645033
78,1.2740127798407217,-0.002002200315457411,-0.030172997809588247
79,1.113242163937877,-0.0019768322784810104,-0.029043765314479834
80,1.2095632820376192,-0.0019147786752827121,-0.03094836933331381
81,1.3265039305133879,-0.0018842859424920112,-0.03181110524148271
82,1.1775151248322715,-0.002096264150943394,-0.028985371924224283
83,1.1577265957134433,-0.0021546976377952737,-0.030337946578807555
84,1.1492647280380925,-0.002096264150943394,-0.031249934817306042
85,1.2622589174442485,-0.002035446909667193,-0.03333968813389447
86,1.1797608689686547,-0.0020592104430379723,-0.029812364998024136
87,1.295349687841563,-0.002199153481012655,-0.030726339681568442
88,1.180211368703239,-0.002096264150943394,-0.03048910620095384
89,0.9978840252404267,-0.002096264150943394,-0.03024637664120541
90,1.1644573118404684,-0.0020953028391167174,-0.03054387004933588
91,1.0656185207330378,-0.0021253017377567103,-0.03246687700634298
92,1.0258540886304195,-0.0021335276461295384,-0.030626518396548348
93,1.0187125190663393,-0.002096264150943394,-0.03247380745881548
94,1.1885436769230666,-0.002096264150943394,-0.03392602758460164
95,1.011348825059458,-0.0019768322784810104,-0.031231996327138065
96,0.9455898654914401,-0.002058133858267714,-0.032020176500067395
97,1.3283369164001468,-0.0021447412698412677,-0.029548453565434223
98,1.011588723191023,-0.0021699968503936986,-0.02929327886227212
99,1.1345834193369932,-0.0020736357827476014,-0.030382279362888454
100,1.2268633254316992,-0.002096264150943394,-0.034487145509129936
101,0.9996721928827758,-0.002084796850393698,-0.028665159177232752
102,1.0757082766156698,-0.002120577777777776,-0.030024428168608827
103,1.2567314167619665,-0.0020680876288659777,-0.03125815183085723
104,1.2206941394186077,-0.0021069086614173204,-0.03116155917723275
105,1.2889395013380303,-0.0020856477093206933,-0.03272056894947094
106,1.1880846185020393,-0.002096264150943394,-0.03322281846510479
107,1.210520780517864,-0.002096264150943394,-0.02974614865378403
108,1.1276171642389892,-0.002096264150943394,-0.029931387647494718
109,1.2250770137037428,-0.0021109007874015717,-0.028620378074870546
110,1.0444964123331832,-0.0021069086614173196,-0.03376413712998865
111,1.1903420494182981,-0.002096264150943394,-0.030945724125482143
112,1.020192326997441,-0.002096264150943394,-0.03193314865378403
113,1.137050280204442,-0.002093742902208199,-0.03151409717867343
