permno,alpha,alpha_t,alpha_p,beta,beta_t,beta_p,R^2
1.0,-0.012035520032608263,-3.0273322579561035,0.0038940077562972866,0.558950321728445,4.661971517616104,2.3615572948752434e-05,0.3029802459924916
2.0,-0.017437289648101043,-0.7604550894623036,0.45207537117435215,0.4443745688477787,0.6236234241322958,0.5369183001591962,0.010989494086138918
4.0,0.021950511497460273,0.5107284028358522,0.6169750982899302,1.6548496810388258,1.1666578752399253,0.261562279340478,0.08319070111606253
5.0,-0.009984308890206102,-1.5275155810287444,0.13293471377127594,0.8861629543274627,4.495545605486105,4.133122552592532e-05,0.28785002644554003
6.0,-0.002074398090307956,-0.23379429360142515,0.8160992976227166,0.8033788000501234,3.0023640201454502,0.00417421804708341,0.1527461404425312
7.0,0.0054803063104749495,0.21370495907016823,0.8327452898496361,1.0693641298899121,1.2879962408405654,0.21113058220655678,0.07011872530827057
8.0,-0.012364775598087954,-1.2415360919143221,0.2204406129531775,0.6972350181655632,2.3584014890946117,0.022474319466403058,0.10384323968632825
9.0,0.003446881494959973,0.43138161142465214,0.6680452523603978,1.2115426810739387,5.0277673253738415,6.753031988320282e-06,0.33579923868660366
11.0,0.011889330740894988,1.0084748669656647,0.31808218403029626,1.047691168227097,2.9467421180639657,0.00486754097300796,0.14796868481656655
12.0,0.009170238293879349,1.0247282835167226,0.3104237154681856,1.419604167088109,5.260130811400029,3.009323303462832e-06,0.35624231866428413
14.0,0.009265661054089854,1.0616174499876119,0.29351041234961284,1.277380720306179,4.853032202489984,1.2322774777558353e-05,0.3202081068637086
16.0,-0.00030172574195847456,-0.042111050582134164,0.9665885623972236,1.0445300963392112,4.91653012321895,1.1148938529844072e-05,0.3396304344106329
17.0,-0.004072610828288702,-0.34170407101293987,0.7340967553175641,0.9483766688392996,2.679254427188304,0.010137972397463295,0.13249567572655496
18.0,0.005912064299788105,0.374016591306561,0.7100390783319777,1.3720624682393594,2.934413781794075,0.005113099594109478,0.15210501599579485
19.0,0.016824525036594838,0.8787596506909956,0.3837352455478559,1.4124275744159829,2.446215193633235,0.017997267852769994,0.10688718403951314
20.0,-0.006815775864938535,-0.6592888558238322,0.5129278155201024,0.9324409296236132,3.0238332942688118,0.004035340621474437,0.16286046917218255
21.0,0.017510770767258564,1.9443508736199626,0.057489829012223014,1.6838901823557115,6.199894773688002,1.0693846807250175e-07,0.4346366159720987
22.0,0.004166457332470772,0.3891511389489346,0.6988168054390735,0.8858410289388704,2.7435212944881844,0.008416908930109419,0.130841535064943
23.0,0.020633222501729793,1.2998654468586974,0.20012323944239974,1.7722783324913771,3.8030627676018054,0.00041948681258302854,0.23920774526231992
25.0,0.020186241958662143,1.1935714253531446,0.2382781729881789,1.8156972795801094,3.5598980308575676,0.0008246001771333686,0.20220668342263548
26.0,0.0029851188012958614,0.30231077510766713,0.7636691930190638,1.1828531452105102,3.972135114924336,0.0002286440468644381,0.23986578465414599
27.0,-0.0011795900476885557,-0.19994564350783967,0.84233409131204,1.0021946720768322,5.632926867127596,8.093788154559627e-07,0.388228526442678
28.0,-0.017227429447726553,-2.0758684246999883,0.043068357831277736,0.3463246597430532,1.3837700804516588,0.17257548300182857,0.03688387341024013
29.0,-0.009356627847083729,-1.050683650002804,0.30386897357004056,0.7915622696014157,2.99235746701137,0.006319406855416269,0.2717165744598746
30.0,0.0032235363086002954,0.45183916635161786,0.6533786377563711,0.9965040624194272,4.611316094317505,2.8915714444150694e-05,0.30263242433715165
31.0,-0.001310064465267124,-0.21826410577682215,0.8281117383123947,1.1808373447908354,6.523503656112333,3.340400240981309e-08,0.4597870910042404
32.0,0.0031831576198184746,0.4934865997136771,0.6245089928029111,1.3385545287425225,6.705379677497894,6.174793291370129e-08,0.5419596130324233
34.0,0.030533207275361084,1.571395119062112,0.12563094033142863,2.401462675771078,4.068375604572878,0.00027698346385186476,0.33402863515184267
35.0,0.016952251907637446,2.0621726668797837,0.04486573628913382,1.544718334375791,6.192627551163094,1.48843218519588e-07,0.45464441171451486
36.0,-0.003660096440150866,-0.4750955631552559,0.6367877093785854,0.835733342717168,3.597140092808896,0.0007363442350616546,0.2055852674753479
37.0,0.002775897858855984,0.13809686697293777,0.8911886405481417,1.088509388157641,1.9936367365839778,0.05638377710326302,0.12831768770068563
38.0,0.01775233320242511,0.7772129976322688,0.44274115130605696,2.037292294548277,2.9058921082230342,0.006594879891710132,0.20878660171578156
39.0,0.00028037288239529494,0.04196915562009008,0.9666904368199659,1.0137999284575054,5.032081407611163,6.653008097961067e-06,0.3361819385431549
40.0,-0.0022275420678718304,-0.19579999422434385,0.8456291029426523,0.8220172817461766,2.433864955644261,0.018880643899607998,0.11408468155170348
42.0,-0.01060636231397963,-1.2939505806774727,0.20310406457000718,0.579587683745284,2.3217542970407528,0.0254232042906396,0.11875916562504141
43.0,0.016927638012598095,1.1558289344833668,0.25516037588687,1.4988377178492787,3.478834484689809,0.001306476192543929,0.24647097979918187
45.0,0.004846591028525549,0.3383666584382199,0.7372969969715152,1.0610222174942487,2.5714191253004746,0.014979047923901891,0.17124631459737227
46.0,-0.010511799909026153,-1.8651294095451127,0.06803692206598944,0.8169817437518964,4.8066822472644795,1.4439543264722391e-05,0.31604471495422604
48.0,-0.00795998914548072,-0.742328311129888,0.4616623496847172,0.7674736070281345,2.314675922839972,0.025147166453537935,0.10432169000099223
49.0,-0.010754547163694495,-0.9957524412646017,0.3241651519244928,0.5727319211932962,1.7583762832946987,0.0848031262211113,0.05823652763943121
50.0,0.0030777913158065743,0.2482798543919454,0.8053688841641933,1.1228375636381072,3.049988637586917,0.004343030776440954,0.20997562762697541
55.0,-7.886855438238045e-05,-0.007068765820250995,0.9943881166005013,1.0934219250154709,3.2495907409858042,0.0020697171263926555,0.1743703415779817
56.0,-0.004549956292832595,-0.5582050759124187,0.5791954955140033,0.890715478932246,3.6234872124943798,0.0006794438749766498,0.20797925518126692
58.0,0.01798617211798183,1.974567366529499,0.05385302794156527,1.8001971759269912,6.553215700720852,3.0014627127443775e-08,0.46204534074298664
59.0,0.008357524239482095,0.7897033230055595,0.43343024736244506,1.0137280854248685,3.1762083004428483,0.0025566807475014075,0.1678912418477605
60.0,0.024915642015386544,2.686439982834081,0.009777170265683298,1.9695882954446056,7.041767663227839,5.162730849766236e-09,0.4979238741643085
61.0,-0.007235007607580446,-1.0766966637451705,0.2867835236467447,0.9151416304528843,4.515895299546774,3.861140803963236e-05,0.28970523268756354
62.0,0.021429591863614705,1.2504325050507803,0.21708014157437272,1.5901981043686972,3.08583761419352,0.0033343395807419285,0.1627136753287628
63.0,0.007283295639912505,1.086142685177079,0.28284049251537485,1.0726052282565524,5.3882736741518364,2.123529491533743e-06,0.3768944128869799
65.0,0.01575587451309151,1.3321778772863218,0.18884213277128892,1.5107316545829461,4.235534368648236,9.766575183353394e-05,0.26405382742052463
66.0,0.016927297656525335,1.2277963396575062,0.22551050042692067,1.8176597695174017,4.427325629976983,5.4898857850096075e-05,0.2899535612770545
68.0,0.007629840314583248,0.8569381711220477,0.39556776098205404,1.5002497601928744,5.587258727329631,9.515162142361758e-07,0.38436882971985153
69.0,-0.0017525712911024786,-0.29862872129897106,0.7664609658599909,0.7857152415786457,4.43937913113757,4.9846140025938696e-05,0.2827231085855917
70.0,0.005550839556783908,0.5776847605404974,0.5660695277188804,1.217208757029632,4.20047574651697,0.00010951075193318016,0.26083610387862954
78.0,-0.006639990699358145,-0.9341297925395036,0.35472644048792157,0.8365968410939189,3.902627941780093,0.0002850939242398991,0.23348745938004878
88.0,0.01619289067004046,1.2393971146734504,0.2209845675759328,1.3098285068604216,3.324311501103916,0.0016647875086662758,0.18101322593647007
89.0,-0.011631397517003962,-1.9493235347380262,0.05687724107791054,0.4972915400778443,2.7635305863268016,0.00798291847920575,0.13250321631557416
90.0,0.006357396535365656,0.735863322594511,0.46525211791349996,1.1077798032424087,4.251796557856545,9.260358889779752e-05,0.2655459030949846
96.0,-0.00016839209204100054,-0.019969930643964604,0.9841468398141896,0.9930782306568181,3.905166029323034,0.0002828144441034114,0.233720253255148
99.0,0.005918113837978805,0.6066618839437655,0.5471929933292311,1.2569788143523382,4.330754558207773,8.466406263616398e-05,0.29886550910619036
100.0,-0.018449346299966234,-3.255001145219802,0.0033608533681625742,0.5821782589550853,3.624490404195781,0.0013525857191253386,0.3537430381559986
150.0,0.011023234905318889,1.0992583822470436,0.27692024313727953,1.2942541883973735,4.279681797828918,8.451117072541139e-05,0.26810356400102064
151.0,0.0041342659946728266,0.3897715701165095,0.6983608551181659,1.0804115330042698,3.3775526814354095,0.0014233736556352914,0.1857720122929185
153.0,-0.004025276843877313,-0.3501935235032784,0.7283537037922563,0.6302333268520588,1.8340207417749874,0.07541595480204509,0.09002422660477549
156.0,0.006777221598223094,0.9584486898340389,0.3424483549561317,1.4370390636541241,6.738867737694512,1.537679046076821e-08,0.4759587612490247
157.0,-0.0035995072818711714,-0.7530796028383352,0.45493346624123465,0.943684365635473,6.546750126907194,3.072167468056625e-08,0.46155466507259824
158.0,0.02022851266503126,1.389852742198095,0.17073101390982384,1.5199791501347844,3.4629294528194916,0.0011042874485260225,0.1934427592574256
159.0,-0.00583645355574874,-0.4195583158388811,0.6777015790754235,1.1213103354522704,2.6025898853538783,0.014065992448881756,0.17931827216580332
166.0,0.0017050040475722074,0.4671408550622642,0.6424697927488574,1.1484054977840628,10.453354418367272,4.5257891717200234e-14,0.6904075990233298
301.0,0.0006324661210270659,0.06257133697388087,0.9504358269257711,0.9375295780662893,2.9970447800805795,0.004783583653378635,0.19118437649785647
